apartment_id,rooms,floor_min,floor_max,num_levels,interior_area_sqm,balcony_area_sqm,directions,property_type,regression_base_price,regression_base_price_per_sqm,model_version
1,3,0,0,1,70.8,100.0,מזרח,garden,3487207.670698496,49254.34563133469,baseline_linear_v1
2,3,0,0,1,65.6,69.0,מזרח,garden,3307049.3337332886,50412.33740447087,baseline_linear_v1
3,2,0,0,1,57.0,18.0,מזרח,garden,2839304.8315805383,49812.36546632523,baseline_linear_v1
4,3,1,1,1,69.0,12.0,,regular,3702129.965534934,53654.05747152078,baseline_linear_v1
5,3,1,1,1,69.0,12.0,מזרח,regular,3702129.965534934,53654.05747152078,baseline_linear_v1
6,3,1,1,1,69.0,12.0,מערב,regular,3702129.965534934,53654.05747152078,baseline_linear_v1
7,5,1,1,1,111.1,12.0,מערב,regular,5500300.237231525,49507.65290037376,baseline_linear_v1
8,3,2,2,1,69.0,12.0,מזרח,regular,3979414.7616285584,57672.677704761714,baseline_linear_v1
9,3,2,2,1,69.0,12.0,,regular,3979414.7616285584,57672.677704761714,baseline_linear_v1
10,3,2,2,1,69.0,12.0,מערב,regular,3979414.7616285584,57672.677704761714,baseline_linear_v1
11,5,2,2,1,111.1,12.0,מערב,regular,5777585.03332515,52003.465646491,baseline_linear_v1
12,3,3,3,1,69.0,12.0,,regular,4256699.557722183,61691.29793800265,baseline_linear_v1
13,3,3,3,1,69.0,12.0,,regular,4256699.557722183,61691.29793800265,baseline_linear_v1
14,3,3,3,1,69.0,12.0,,regular,4256699.557722183,61691.29793800265,baseline_linear_v1
15,5,3,3,1,111.1,12.0,מערב,regular,6054869.829418774,54499.27839260823,baseline_linear_v1
16,3,4,4,1,69.0,12.0,,regular,4533984.353815807,65709.91817124358,baseline_linear_v1
17,3,4,4,1,69.0,12.0,מזרח,regular,4533984.353815807,65709.91817124358,baseline_linear_v1
18,3,4,4,1,69.0,12.0,מערב,regular,4533984.353815807,65709.91817124358,baseline_linear_v1
19,5,4,4,1,111.1,12.0,מערב,regular,6332154.625512399,56995.09113872547,baseline_linear_v1
20,3,5,5,1,69.0,12.0,מזרח,regular,4811269.149909432,69728.53840448453,baseline_linear_v1
21,3,5,5,1,69.0,12.0,,regular,4811269.149909432,69728.53840448453,baseline_linear_v1
22,3,5,5,1,69.0,12.0,מערב,regular,4811269.149909432,69728.53840448453,baseline_linear_v1
23,5,5,5,1,111.1,12.0,מערב,regular,6609439.421606023,59490.90388484269,baseline_linear_v1
24,3,6,6,1,69.0,12.0,מזרח,regular,5088553.946003056,73747.15863772546,baseline_linear_v1
25,3,6,6,1,69.0,12.0,,regular,5088553.946003056,73747.15863772546,baseline_linear_v1
26,3,6,6,1,69.0,12.0,מערב,regular,5088553.946003056,73747.15863772546,baseline_linear_v1
27,5,6,6,1,111.1,12.0,מערב,regular,6886724.217699647,61986.71663095992,baseline_linear_v1
28,3,7,7,1,69.0,12.0,,regular,5365838.742096681,77765.77887096639,baseline_linear_v1
29,3,7,7,1,69.0,12.0,,regular,5365838.742096681,77765.77887096639,baseline_linear_v1
30,3,7,7,1,69.0,12.0,מערב,regular,5365838.742096681,77765.77887096639,baseline_linear_v1
31,5,7,7,1,111.1,12.0,מערב,regular,7164009.013793272,64482.52937707716,baseline_linear_v1
32,3,8,8,1,69.0,12.0,,regular,5643123.538190305,81784.39910420732,baseline_linear_v1
33,3,8,8,1,69.0,12.0,,regular,5643123.538190305,81784.39910420732,baseline_linear_v1
34,3,8,8,1,69.0,12.0,,regular,5643123.538190305,81784.39910420732,baseline_linear_v1
35,5,8,8,1,111.1,12.0,מערב,regular,7441293.809886897,66978.3421231944,baseline_linear_v1
36,6,9,11,3,255.2,94.6,מזרח,triplex,12880833.619438203,50473.48596958544,baseline_linear_v1
37,6,9,11,3,260.1,97.4,מערב,triplex,13050598.206193881,50175.310289096036,baseline_linear_v1
38,7,9,10,2,170.1,39.6,מערב,duplex,10102263.472814038,59390.14387309841,baseline_linear_v1
39,5,9,10,2,158.6,39.6,,duplex,9364255.722489629,59043.22649741254,baseline_linear_v1
