apartment_id,rooms,floor_min,floor_max,num_levels,interior_area_sqm,balcony_area_sqm,balcony_direction,directions,parking_count,storage_area_sqm,garden_area_sqm,roof_area_sqm,is_top_floor,property_type,historical_base_price,historical_base_price_per_sqm,current_market_price,current_market_price_per_sqm,historical_weight,current_market_weight,historical_contribution,current_market_contribution,recommended_marketing_price,recommended_marketing_price_per_sqm,historical_model_version,current_market_model_version,current_market_data_type,company_positioning_adjustment_pct,sales_phase_adjustment_pct,inventory_strategy_adjustment_pct,manual_adjustment_pct,manual_adjustment_amount,strategy_note,total_strategy_adjustment_pct,final_strategy_price,final_strategy_price_per_sqm,pricing_status
1,3,0,0,1,70.8,100.0,East,מזרח,1,4.0,35.4,0.0,False,garden,4283519.5607047565,60501.68871051916,8991312.54481154,126995.93989846807,0.7,0.3,2998463.6924933293,2697393.7634434616,5695857.455936791,80449.96406690383,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5581940.306818055,78840.96478556575,priced
2,3,0,0,1,65.6,69.0,South-East,מזרח,1,4.0,32.8,0.0,False,garden,3957301.6153679807,60324.71974646312,8138616.855513262,124064.28133404363,0.7,0.3,2770111.130757586,2441585.0566539783,5211696.187411564,79446.58822273726,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,5107462.263663333,77857.65645828252,priced
3,2,0,0,1,57.0,18.0,South,מזרח,0,0.0,28.5,0.0,False,garden,3395552.47607435,59571.09607147983,6606605.455239789,115905.35886385594,0.7,0.3,2376886.7332520448,1981981.6365719365,4358868.369823981,76471.37490919264,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4271691.002427502,74941.9474110088,priced
4,3,1,1,1,69.0,12.0,South-West,,1,4.0,0.0,0.0,False,regular,4337592.434186731,62863.65846647437,6144127.982743562,89045.33308324004,0.7,0.3,3036314.703930712,1843238.3948230685,4879553.09875378,70718.16085150406,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4781962.036778704,69303.79763447397,priced
5,3,1,1,1,69.0,12.0,West,מזרח,1,4.0,0.0,0.0,False,regular,4337592.434186731,62863.65846647437,6054762.214271542,87750.17701842813,0.7,0.3,3036314.703930712,1816428.6642814626,4852743.368212175,70329.6140320605,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4755688.500847931,68923.02175141929,priced
6,3,1,1,1,69.0,12.0,North-West,מערב,1,4.0,0.0,0.0,False,regular,4337592.434186731,62863.65846647437,5935631.324601264,86023.64238552556,0.7,0.3,3036314.703930712,1780689.397380379,4817004.101311091,69811.65364218973,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4720664.01928487,68415.42056934594,priced
7,5,1,1,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,7023172.797175091,63214.876662242044,9476736.022945456,85299.1541219213,0.7,0.3,4916220.958022563,2843020.806883637,7759241.7649062,69840.15990014581,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,7604056.929608076,68443.3567021429,priced
8,3,2,2,1,69.0,12.0,North-East,מזרח,1,4.0,0.0,0.0,False,regular,4504586.904131437,65283.86817581792,6005397.143538642,87034.74121070495,0.7,0.3,3153210.8328920053,1801619.1430615925,4954829.975953598,71809.13008628403,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4855733.3764345255,70372.94748455835,priced
9,3,2,2,1,69.0,12.0,East,,1,4.0,0.0,0.0,False,regular,4504586.904131437,65283.86817581792,6307619.070107225,91414.76913198877,0.7,0.3,3153210.8328920053,1892285.7210321676,5045496.553924173,73123.13846266917,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4944586.62284569,71660.67569341579,priced
10,3,2,2,1,69.0,12.0,South-East,מערב,1,4.0,0.0,0.0,False,regular,4504586.904131437,65283.86817581792,6296011.9662435865,91246.5502354143,0.7,0.3,3153210.8328920053,1888803.589873076,5042014.422765082,73072.67279369684,baseline_linear_v1,current_market_linear_v1,synthetic_poc,0.02,-0.05,0.01,0.0,0.0,,-0.020000000000000004,4941174.13430978,71611.2193378229,priced
