apartment_id,rooms,floor_min,floor_max,num_levels,interior_area_sqm,balcony_area_sqm,balcony_direction,directions,parking_count,storage_area_sqm,garden_area_sqm,roof_area_sqm,is_top_floor,property_type,notes
1,3,0,0,1,70.8,100.0,East,מזרח,1,4.0,35.4,0.0,False,garden,דירת גן
2,3,0,0,1,65.6,69.0,South-East,מזרח,1,4.0,32.8,0.0,False,garden,דירת גן
3,2,0,0,1,57.0,18.0,South,מזרח,0,0.0,28.5,0.0,False,garden,דירת גן
4,3,1,1,1,69.0,12.0,South-West,,1,4.0,0.0,0.0,False,regular,
5,3,1,1,1,69.0,12.0,West,מזרח,1,4.0,0.0,0.0,False,regular,
6,3,1,1,1,69.0,12.0,North-West,מערב,1,4.0,0.0,0.0,False,regular,
7,5,1,1,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,
8,3,2,2,1,69.0,12.0,North-East,מזרח,1,4.0,0.0,0.0,False,regular,
9,3,2,2,1,69.0,12.0,East,,1,4.0,0.0,0.0,False,regular,
10,3,2,2,1,69.0,12.0,South-East,מערב,1,4.0,0.0,0.0,False,regular,
11,5,2,2,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,
12,3,3,3,1,69.0,12.0,South-West,,1,4.0,0.0,0.0,False,regular,
13,3,3,3,1,69.0,12.0,West,,1,4.0,0.0,0.0,False,regular,
14,3,3,3,1,69.0,12.0,North-West,,1,4.0,0.0,0.0,False,regular,
15,5,3,3,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,
16,3,4,4,1,69.0,12.0,North-East,,1,4.0,0.0,0.0,False,regular,
17,3,4,4,1,69.0,12.0,East,מזרח,1,4.0,0.0,0.0,False,regular,
18,3,4,4,1,69.0,12.0,South-East,מערב,1,4.0,0.0,0.0,False,regular,
19,5,4,4,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,
20,3,5,5,1,69.0,12.0,South-West,מזרח,1,4.0,0.0,0.0,False,regular,
21,3,5,5,1,69.0,12.0,West,,1,4.0,0.0,0.0,False,regular,
22,3,5,5,1,69.0,12.0,North-West,מערב,1,4.0,0.0,0.0,False,regular,
23,5,5,5,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,
24,3,6,6,1,69.0,12.0,North-East,מזרח,1,4.0,0.0,0.0,False,regular,
25,3,6,6,1,69.0,12.0,East,,1,4.0,0.0,0.0,False,regular,
26,3,6,6,1,69.0,12.0,South-East,מערב,1,4.0,0.0,0.0,False,regular,
27,5,6,6,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,
28,3,7,7,1,69.0,12.0,South-West,,1,4.0,0.0,0.0,False,regular,
29,3,7,7,1,69.0,12.0,West,,1,4.0,0.0,0.0,False,regular,
30,3,7,7,1,69.0,12.0,North-West,מערב,1,4.0,0.0,0.0,False,regular,
31,5,7,7,1,111.1,12.0,North,מערב,2,6.0,0.0,0.0,False,regular,
32,3,8,8,1,69.0,12.0,North-East,,1,4.0,0.0,0.0,False,regular,
33,3,8,8,1,69.0,12.0,East,,1,4.0,0.0,0.0,False,regular,
34,3,8,8,1,69.0,12.0,South-East,,1,4.0,0.0,0.0,False,regular,
35,5,8,8,1,111.1,12.0,South,מערב,2,6.0,0.0,0.0,False,regular,
36,6,9,11,3,255.2,94.6,South-West,מזרח,2,8.0,0.0,76.6,True,triplex,טריפלקס
37,6,9,11,3,260.1,97.4,West,מערב,2,8.0,0.0,78.0,True,triplex,טריפלקס
38,7,9,10,2,170.1,39.6,North-West,מערב,2,8.0,0.0,51.0,False,duplex,דופלקס
39,5,9,10,2,158.6,39.6,North,,2,8.0,0.0,47.6,False,duplex,דופלקס
