objectid,settlementId,settlementNameHeb,streetCode,streetNameHeb,houseNum,floorNo,assetArea,dealAmount,dealId,propertyTypeDescription,dealNatureDescription,assetRoomNum,neighborhood,dealDate,gushNum,parcelNum,subParcelNum,polygonId,shape,sourceorder,source,source_url,data_retrieved_at
1629726,5000,תל אביב-יפו,50000932.0,הלסינקי,16.0,ראשונה,22,201000,6256690950,בנין,מחסנים,,הצפון החדש סביבת כיכר המדינה,2025-04-20T00:00:00.000Z,6108,86,0,6108-86,"MULTIPOLYGON(((3873095.4223000887 3774409.887607478,3873057.269138119 3774419.1262294035,3873063.480575712 3774444.5792812873,3873101.578348674 3774436.1598379086,3873098.0924139437 3774421.282524016,3873095.4223000887 3774409.887607478)))",1,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1629727,5000,תל אביב-יפו,50000932.0,הלסינקי,16.0,קרקע,91,6030000,6151319350,דירה,דירה בבית קומות,4.0,הצפון החדש סביבת כיכר המדינה,2023-01-02T00:00:00.000Z,6108,86,2,6108-86,"MULTIPOLYGON(((3873095.4223000887 3774409.887607478,3873057.269138119 3774419.1262294035,3873063.480575712 3774444.5792812873,3873101.578348674 3774436.1598379086,3873098.0924139437 3774421.282524016,3873095.4223000887 3774409.887607478)))",1,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1629728,5000,תל אביב-יפו,50000932.0,הלסינקי,16.0,ראשונה,106,855000,6113209350,דירה,דירה בבית קומות,4.0,הצפון החדש סביבת כיכר המדינה,2022-08-18T00:00:00.000Z,6108,86,4,6108-86,"MULTIPOLYGON(((3873095.4223000887 3774409.887607478,3873057.269138119 3774419.1262294035,3873063.480575712 3774444.5792812873,3873101.578348674 3774436.1598379086,3873098.0924139437 3774421.282524016,3873095.4223000887 3774409.887607478)))",1,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1627260,5000,תל אביב-יפו,50000932.0,הלסינקי,13.0,,85,5254000,6308613950,דירה,דירה בבית קומות,3.0,הצפון החדש סביבת כיכר המדינה,2026-06-25T00:00:00.000Z,6108,230,19,52315574,"MULTIPOLYGON(((3873031.8012709445 3774432.436446638,3873012.225142258 3774436.223784206,3873013.714944848 3774444.4403964044,3873006.0448168716 3774445.9630499184,3873007.445022848 3774452.935249943,3873034.797652972 3774447.566414745,3873031.8012709445 3774432.436446638)))",2,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1629681,5000,תל אביב-יפו,50000932.0,הלסינקי,8.0,שלישית,112,6723000,6305808450,דירה,דירה בבית קומות,4.0,הצפון החדש סביבת כיכר המדינה,2026-05-14T00:00:00.000Z,6108,82,21,52324720,"MULTIPOLYGON(((3873064.7590925856 3774320.4547638856,3873041.5332955737 3774325.9224002594,3873044.886819503 3774340.1531399195,3873068.1362245167 3774334.6855814066,3873064.7590925856 3774320.4547638856)))",2,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1629682,5000,תל אביב-יפו,50000932.0,הלסינקי,8.0,שניה,105,6250000,6305628600,דירה,דירה בבית קומות,4.0,הצפון החדש סביבת כיכר המדינה,2026-05-05T00:00:00.000Z,6108,82,22,52324720,"MULTIPOLYGON(((3873064.7590925856 3774320.4547638856,3873041.5332955737 3774325.9224002594,3873044.886819503 3774340.1531399195,3873068.1362245167 3774334.6855814066,3873064.7590925856 3774320.4547638856)))",2,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1629710,5000,תל אביב-יפו,50000932.0,הלסינקי,10.0,ראשונה,118,6803000,6305719800,דירה,דירה בבית קומות,3.0,הצפון החדש סביבת כיכר המדינה,2026-04-19T00:00:00.000Z,6108,83,5,52297528,"MULTIPOLYGON(((3873072.462867957 3774344.180766301,3873046.0217165234 3774351.7806119653,3873049.640017057 3774364.6024556705,3873076.0699438066 3774356.860372184,3873072.462867957 3774344.180766301)))",2,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1627277,5000,תל אביב-יפו,50000932.0,הלסינקי,15.0,,10,209000,6302442100,בנין,מחסנים,,הצפון החדש סביבת כיכר המדינה,2025-12-28T00:00:00.000Z,6108,231,0,52294700,"MULTIPOLYGON(((3873037.375049545 3774455.0526123205,3873016.7220159457 3774459.854785086,3873018.3448633533 3774467.1951461267,3873010.4375008284 3774469.0841925014,3873012.177941315 3774476.5079503497,3873040.7375999712 3774470.0181365763,3873037.375049545 3774455.0526123205)))",2,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1627318,5000,תל אביב-יפו,50000932.0,הלסינקי,1.0,שניה,77,4170000,6266041000,דירה,דירה בבית קומות,3.0,הצפון החדש סביבת כיכר המדינה,2025-12-03T00:00:00.000Z,6108,245,6,53299167,"MULTIPOLYGON(((3872990.8545592106 3774254.780790247,3872976.350835723 3774258.0543490797,3872981.7753157853 3774282.6719819917,3872996.1845144164 3774279.457287588,3872990.8545592106 3774254.780790247)))",2,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
1627942,5000,תל אביב -יפו,50000932.0,הלסינקי,26.0,קרקע,79,4791000,6266383800,דירה,דירה בבית קומות,3.0,הצפון החדש סביבת כיכר המדינה,2025-12-03T00:00:00.000Z,6108,434,1,53295335,"MULTIPOLYGON(((3873121.3077025535 3774587.9938489185,3873103.8192545073 3774591.5642664614,3873108.4519621613 3774613.6439041193,3873125.9409807893 3774609.9312938442,3873121.3077025535 3774587.9938489185)))",2,GovMap,https://www.govmap.gov.il/api/real-estate/street-deals/6108-86?limit=100&offset=0&dealType=2&startDate=2021-01&endDate=2026-08,2026-08-22 13:43:01.529718+00:00
